"Points:0","Points:1","Points:2"
3.302,0,0
3.303797,0.049644239,0
0,0.050666671,0
0,0,0
2.842068,2.3170121,0
2.8210001,2.362,0
2.86269,2.2718179,0
2.882865,2.226423,0
2.902591,2.18083,0
2.921865,2.1350451,0
2.9406869,2.089072,0
2.959053,2.0429151,0
2.9769621,1.9965791,0
2.9944129,1.950068,0
3.0114031,1.903387,0
3.0279319,1.856541,0
3.043997,1.809533,0
3.059597,1.762369,0
3.0747299,1.715054,0
3.089395,1.667591,0
3.10359,1.6199861,0
3.1173151,1.572242,0
3.1305671,1.524366,0
3.1433461,1.476361,0
3.1556499,1.428232,0
3.1674781,1.379984,0
3.178828,1.3316211,0
3.1897011,1.283149,0
3.200094,1.2345721,0
3.210007,1.185894,0
3.2194381,1.137121,0
3.2283871,1.088257,0
3.2368541,1.039307,0
3.2448361,0.99027538,0
3.2523329,0.94116771,0
3.2593451,0.89198828,0
3.265871,0.84274209,0
3.27191,0.79343379,0
3.277462,0.74406832,0
3.282526,0.69465029,0
3.287101,0.6451847,0
3.291188,0.5956763,0
3.294785,0.54613,0
3.297893,0.4965505,0
3.3005109,0.44694281,0
3.302639,0.39731169,0
3.304276,0.34766191,0
3.305423,0.2979984,0
3.3060789,0.248326,0
3.3062439,0.1986495,0
3.3059189,0.14897379,0
3.3051031,0.099303797,0
0,0.912,0
0,0.86133331,0
0,0.81066668,0
0,0.1013333,0
0,0.75999999,0
0,0.70933342,0
0,0.65866667,0
0,0.2026667,0
0,0.60799998,0
0,0.55733341,0
0,0.50666672,0
0,0.456,0
0,0.40533331,0
0,0.152,0
0,0.2533333,0
0,0.30399999,0
0,0.35466671,0
1.777035,2.043828,0
0.59234482,1.289276,0
0.55003452,1.262328,0
0.8462069,1.450966,0
0.80389649,1.424017,0
1.861655,2.097724,0
1.819345,2.070776,0
1.9462759,2.1516211,0
1.903965,2.1246719,0
2.2424481,2.3402591,0
2.2001381,2.3133099,0
2.327069,2.394155,0
2.284759,2.3672071,0
2.41169,2.4480519,0
2.369379,2.421103,0
0.71927589,1.370121,0
0.67696548,1.343172,0
1.438552,1.828241,0
1.3962409,1.801293,0
1.057759,1.5857069,0
1.015448,1.558759,0
1.142379,1.639603,0
1.100069,1.612655,0
1.565483,1.909086,0
1.523172,1.882138,0
1.734724,2.0168791,0
1.9885859,2.1785691,0
2.1578281,2.2863619,0
1.18469,1.6665519,0
1.311621,1.7473969,0
1.26931,1.720448,0
2.0308969,2.2055171,0
0.93082762,1.504862,0
0.88851732,1.477914,0
2.454,2.4749999,0
0.50772423,1.235379,0
0.46541381,1.208431,0
0.38079309,1.154534,0
0.3384828,1.127586,0
0.29617241,1.100638,0
0.25386211,1.0736901,0
0.42310351,1.181483,0
0.126931,0.99284482,0
0.084620692,0.96589649,0
0.63465518,1.316224,0
0.76158619,1.397069,0
0.97313792,1.53181,0
1.227,1.6935,0
1.692414,1.989931,0
1.650103,1.962983,0
1.353931,1.774345,0
1.480862,1.85519,0
1.607793,1.936034,0
2.1155169,2.259414,0
2.0732069,2.232466,0
0.2115517,1.046741,0
0.1692414,1.019793,0
0.04231035,0.93894827,0
2.497123,2.4972041,0
2.5437131,2.510699,0
2.5920269,2.514982,0
2.640264,2.509891,0
2.68662,2.4956181,0
2.7293661,2.4726951,0
2.7669051,2.441978,0
2.7978339,2.4046149,0
